,rateCareerOpportunities,rateCompensation_Benefits,rateCultureValues,rateGeneralView,rateOpinionAboutManagement,rateWorklifeBalance,rateCeoApproval,ratePositiveBusinessView,rateRecommendToFriend,NombreEmpresa,codigo_pais,sub_region
12958,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,Springer Professional Home Services,HK,Eastern Asia
12959,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,Springer Professional Home Services,HK,Eastern Asia
12960,4.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,1.0,Springer Professional Home Services,HK,Eastern Asia
12961,4.0,4.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,Springer Professional Home Services,HK,Eastern Asia
12962,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,Springer Professional Home Services,HK,Eastern Asia
12963,4.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,Kabetech,ZA,Sub-Saharan Africa
12964,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,Kabetech,ZA,Sub-Saharan Africa
12965,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,Centogene,DE,Western Europe
12966,5.0,3.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,Singapore Clinical Research Institute,SG,South-eastern Asia
12967,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Singapore Clinical Research Institute,SG,South-eastern Asia
12968,3.0,3.0,5.0,4.0,4.0,5.0,0.0,0.0,1.0,Singapore Clinical Research Institute,SG,South-eastern Asia
12969,5.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,Clarity (Spain),ES,Southern Europe
12970,3.0,4.0,5.0,4.0,5.0,5.0,0.0,1.0,1.0,Clarity (Spain),ES,Southern Europe
12971,1.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,1.0,Clarity (Spain),ES,Southern Europe
12972,3.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,0.0,Clarity (Spain),ES,Southern Europe
12973,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,Clarity (Spain),ES,Southern Europe
12974,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,Woodmark Consulting,DE,Western Europe
12975,1.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,2.0,Woodmark Consulting,DE,Western Europe
12976,3.0,4.0,2.0,3.0,3.0,2.0,0.0,1.0,1.0,Woodmark Consulting,DE,Western Europe
12977,4.0,4.0,5.0,5.0,5.0,5.0,0.0,1.0,1.0,American Modern Insurance,IT,Southern Europe
12978,4.0,4.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,Valiant TMS,BR,Latin America and the Caribbean
12979,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,Valiant TMS,BR,Latin America and the Caribbean
12980,3.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,Valiant TMS,BR,Latin America and the Caribbean
12981,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,Valiant TMS,BR,Latin America and the Caribbean
12982,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,First Stop,BE,Western Europe
12983,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,First Stop,PL,Eastern Europe
12984,3.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,First Stop,BE,Western Europe
12985,3.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,2.0,First Stop,PL,Eastern Europe
12986,3.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,First Stop,BE,Western Europe
12987,3.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,1.0,First Stop,PL,Eastern Europe
12988,4.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,First Stop,BE,Western Europe
12989,4.0,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,First Stop,PL,Eastern Europe
12990,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,Buzzvil,KR,Eastern Asia
12991,2.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,1.0,Liberty Seguros Generales,ES,Southern Europe
12992,4.0,5.0,5.0,3.0,3.0,2.0,1.0,1.0,1.0,Liberty Seguros Generales,ES,Southern Europe
12993,4.0,4.0,4.0,4.0,2.0,1.0,3.0,3.0,1.0,Liberty Seguros Generales,ES,Southern Europe
12994,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,Sorabel,ID,South-eastern Asia
