,salario,NombreEmpresa,modalidad,Plataforma,Fecha,salary.country.currency.currencyCode,PuestoTrabajo,pais,codigo_pais,sub_region
76,117744.0,Caden Concepts,presencial,glassdoor,2019-10-17,,data analyst,Mexico,MX,Latin America and the Caribbean
77,75783.0,Primeworks Studios (M),presencial,glassdoor,2019-11-07,,data analyst,Mexico,MX,Latin America and the Caribbean
78,75907.0,Colgate-Palmolive,presencial,glassdoor,2019-10-30,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
79,76615.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-02,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
80,77097.0,DXC Technology,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
81,99804.0,TE Connectivity,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
82,99835.0,TE Connectivity,presencial,glassdoor,2019-10-21,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
83,100161.0,BEPC,presencial,glassdoor,2019-10-14,,data analyst,Mexico,MX,Latin America and the Caribbean
84,100197.0,CIMMYT,presencial,glassdoor,2019-10-24,,data analyst,Mexico,MX,Latin America and the Caribbean
85,14291.0,Primeworks Studios (M),presencial,glassdoor,2019-11-06,,data analyst,Mexico,MX,Latin America and the Caribbean
86,14490.0,Lenovo,presencial,glassdoor,2019-10-23,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
87,19487.0,Hewlett Packard Enterprise | HPE,presencial,glassdoor,2019-11-07,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
88,36410.0,CEMEX,presencial,glassdoor,2019-11-05,GBP,data analyst,Mexico,MX,Latin America and the Caribbean
89,41432.0,Talentos IT,presencial,glassdoor,2019-11-08,,data analyst,Mexico,MX,Latin America and the Caribbean
90,39413.0,Customer Intelligence,presencial,glassdoor,2019-09-05,,data analyst,Mexico,MX,Latin America and the Caribbean
